Image,Entropy,SF,AG
001.jpg,1.5336097478866577,0.2316279411315918,0.04944533854722977
002.jpg,0.044576890766620636,0.048189517110586166,0.002102948259562254
003.jpg,1.0203529596328735,0.19213390350341797,0.03474016487598419
004.jpg,0.9222483038902283,0.18577709794044495,0.031472351402044296
005.jpg,1.0448315143585205,0.19461849331855774,0.03462595492601395
006.jpg,0.9348918199539185,0.19768032431602478,0.03438849374651909
007.jpg,1.0369840860366821,0.20188890397548676,0.03607698157429695
008.jpg,1.1157171726226807,0.22046919167041779,0.04302862659096718
009.jpg,1.1324480772018433,0.2075604945421219,0.040578968822956085
010.jpg,1.1305952072143555,0.22353516519069672,0.04515643045306206
fused.png,1.4769315719604492,0.22290737926959991,0.04458794370293617
